Date,Price
1997-01-01,3.4510526315789463
1997-02-01,2.150526315789474
1997-03-01,1.8905
1997-04-01,2.0327272727272727
1997-05-01,2.248095238095238
1997-06-01,2.203333333333333
1997-07-01,2.1895454545454545
1997-08-01,2.491428571428571
1997-09-01,2.883333333333333
1997-10-01,3.073913043478261
1997-11-01,3.0077777777777785
1997-12-01,2.347727272727273
1998-01-01,2.091
1998-02-01,2.228947368421052
1998-03-01,2.2418181818181817
1998-04-01,2.427619047619048
1998-05-01,2.141
1998-06-01,2.1672727272727275
1998-07-01,2.1672727272727275
1998-08-01,1.851428571428571
1998-09-01,2.0176190476190476
1998-10-01,1.9122727272727276
1998-11-01,2.122631578947369
1998-12-01,1.7218181818181824
1999-01-01,1.8494736842105264
1999-02-01,1.7710526315789472
1999-03-01,1.7917391304347823
1999-04-01,2.15
1999-05-01,2.2600000000000002
1999-06-01,2.304090909090909
1999-07-01,2.307142857142857
1999-08-01,2.794545454545455
1999-09-01,2.546190476190476
1999-10-01,2.728095238095238
1999-11-01,2.367
1999-12-01,2.355238095238095
2000-01-01,2.4215789473684204
2000-02-01,2.6594999999999995
2000-03-01,2.793181818181818
2000-04-01,3.0415789473684205
2000-05-01,3.5868181818181815
2000-06-01,4.292272727272728
2000-07-01,3.9900000000000007
2000-08-01,4.429565217391305
2000-09-01,5.056
2000-10-01,5.022272727272728
2000-11-01,5.524500000000001
2000-12-01,8.9
2001-01-01,8.172857142857143
2001-02-01,5.606315789473683
2001-03-01,5.230454545454545
2001-04-01,5.192000000000001
2001-05-01,4.191363636363636
2001-06-01,3.72047619047619
2001-07-01,3.1090476190476193
2001-08-01,2.9678260869565225
2001-09-01,2.191578947368421
2001-10-01,2.4608695652173913
2001-11-01,2.342499999999999
2001-12-01,2.3021052631578938
2002-01-01,2.317619047619048
2002-02-01,2.323684210526316
2002-03-01,3.0285
2002-04-01,3.4268181818181813
2002-05-01,3.4981818181818185
2002-06-01,3.2614999999999994
2002-07-01,2.9871428571428575
2002-08-01,3.087727272727273
2002-09-01,3.5490000000000004
2002-10-01,4.1265217391304345
2002-11-01,4.043157894736843
2002-12-01,4.740952380952382
2003-01-01,5.432380952380952
2003-02-01,7.707894736842104
2003-03-01,5.933333333333334
2003-04-01,5.263333333333333
2003-05-01,5.813809523809525
2003-06-01,5.818571428571428
2003-07-01,5.026363636363637
2003-08-01,4.984761904761905
2003-09-01,4.6204761904761895
2003-10-01,4.626956521739133
2003-11-01,4.470000000000001
2003-12-01,6.1276190476190475
2004-01-01,6.138947368421054
2004-02-01,5.368947368421051
2004-03-01,5.393913043478259
2004-04-01,5.709047619047619
2004-05-01,6.333500000000002
2004-06-01,6.27047619047619
2004-07-01,5.9314285714285715
2004-08-01,5.406363636363637
2004-09-01,5.145238095238095
2004-10-01,6.353333333333333
2004-11-01,6.165
2004-12-01,6.576666666666667
2005-01-01,6.15
2005-02-01,6.137894736842105
2005-03-01,6.960000000000002
2005-04-01,7.1585714285714275
2005-05-01,6.472380952380953
2005-06-01,7.182727272727271
2005-07-01,7.6285
2005-08-01,9.532608695652174
2005-09-01,11.745333333333333
2005-10-01,13.42235294117647
2005-11-01,10.303999999999998
2005-12-01,13.049047619047615
2006-01-01,8.686
2006-02-01,7.536315789473684
2006-03-01,6.888260869565218
2006-04-01,7.163684210526316
2006-05-01,6.244999999999999
2006-06-01,6.21
2006-07-01,6.168421052631579
2006-08-01,7.135217391304349
2006-09-01,4.896
2006-10-01,5.84681818181818
2006-11-01,7.404500000000001
2006-12-01,6.733500000000001
2007-01-01,6.551904761904762
2007-02-01,8.00157894736842
2007-03-01,7.107727272727273
2007-04-01,7.600500000000001
2007-05-01,7.637272727272727
2007-06-01,7.346190476190476
2007-07-01,6.218571428571427
2007-08-01,6.217826086956522
2007-09-01,6.079473684210527
2007-10-01,6.74304347826087
2007-11-01,7.102380952380951
2007-12-01,7.1045
2008-01-01,7.9852380952380955
2008-02-01,8.544
2008-03-01,9.413
2008-04-01,10.181363636363637
2008-05-01,11.269047619047617
2008-06-01,12.685238095238095
2008-07-01,11.088636363636361
2008-08-01,8.256666666666666
2008-09-01,7.673809523809522
2008-10-01,6.7365217391304375
2008-11-01,6.683684210526316
2008-12-01,5.8154545454545445
2009-01-01,5.2405
2009-02-01,4.514736842105263
2009-03-01,3.959545454545454
2009-04-01,3.494761904761905
2009-05-01,3.8324999999999996
2009-06-01,3.800454545454545
2009-07-01,3.3836363636363633
2009-08-01,3.1409523809523807
2009-09-01,2.986666666666667
2009-10-01,4.007727272727272
2009-11-01,3.662999999999999
2009-12-01,5.347727272727273
2010-01-01,5.832105263157896
2010-02-01,5.32
2010-03-01,4.290869565217392
2010-04-01,4.0338095238095235
2010-05-01,4.14
2010-06-01,4.801363636363638
2010-07-01,4.626666666666667
2010-08-01,4.3149999999999995
2010-09-01,3.8942857142857137
2010-10-01,3.4342857142857137
2010-11-01,3.7138095238095237
2010-12-01,4.248636363636363
2011-01-01,4.4935
2011-02-01,4.092631578947369
2011-03-01,3.9739130434782597
2011-04-01,4.235
2011-05-01,4.310952380952382
2011-06-01,4.536818181818183
2011-07-01,4.4235
2011-08-01,4.054782608695652
2011-09-01,3.8961904761904766
2011-10-01,3.565714285714285
2011-11-01,3.238571428571429
2011-12-01,3.1695238095238087
2012-01-01,2.6704999999999997
2012-02-01,2.5044999999999997
2012-03-01,2.1718181818181823
2012-04-01,1.9450000000000003
2012-05-01,2.4318181818181817
2012-06-01,2.4552380952380957
2012-07-01,2.953333333333334
2012-08-01,2.8382608695652176
